											
Psalms	100	102:14		Psalms	100	101					
Leviticus	26:1	26:17	Isaiah	63:7	64:12	Psalms	42	43	Acts	27:21	27:38
Leviticus	26:18	26:34	Isaiah	65		Psalms	44		Acts	27:39	28:10
Leviticus	26:35	26:46	Isaiah	66		Psalms	45	46	Acts	28:11	28:31
Leviticus	27:1	27:21	Jeremiah	1:1	2:8	Psalms	47	48	Romans	1:1	1:25
Leviticus	27:22	27:34	Jeremiah	2:9	2:37	Psalms	49	50:6	Romans	1:26	2:16
Numbers	1:1	1:19	Jeremiah	3:1	3:21	Psalms	50:7	51	Romans	2:17	3:8
Numbers	1:20	1:33	Jeremiah	3:22	4:26	Psalms	52	53	Romans	3:9	4:5
Numbers	1:34	1:46	Jeremiah	4:27	5:18	Psalms	54	55:14	Romans	4:6	4:25
Numbers	1:47	2:9	Jeremiah	5:19	6:17	Psalms	55:15	56	Romans	5	
Numbers	2:10	2:24	Jeremiah	6:18	7:16	Psalms	57	58	Romans	6	
Numbers	2:25	3:10	Jeremiah	7:17	8:7	Psalms	59	60	Romans	7	
Numbers	3:11	3:26	Jeremiah	8:8	9:11	Psalms	61	62	Romans	8:1	8:25
Numbers	3:27	3:39	Jeremiah	9:12	10:11	Psalms	63	64	Romans	8:26	9:5
Numbers	3:40	4:3	Jeremiah	10:12	11:13	Psalms	65	66	Romans	9:6	9:28
Numbers	4:4	4:16	Jeremiah	11:14	12:13	Psalms	67	68:16	Romans	9:29	10:15
Numbers	4:17	4:33	Jeremiah	12:14	13:23	Psalms	68:17	68:35	Romans	10:16	11:15
Numbers	4:34	4:49	Jeremiah	13:24	14:22	Psalms	69		Romans	11:16	12:3
Numbers	5:1	5:15	Jeremiah	15		Psalms	70	71	Romans	12:4	13:7
Numbers	5:16	5:31	Jeremiah	16:1	17:4	Psalms	72		Romans	13:8	14:12
Numbers	6:1	6:12	Jeremiah	17:5	18:8	Psalms	73		Romans	14:13	15:13
Numbers	6:13	6:27	Jeremiah	18:9	19:9	Psalms	74		Romans	15:14	15:33
Numbers	7:1	7:17	Jeremiah	19:10	20:18	Psalms	75		Romans	16	
Numbers	7:18	7:35	Jeremiah	21:1	22:7	Psalms	76	77	1 Corinthians	1:1	1:25
Numbers	7:36	7:59	Jeremiah	22:8	23:4	Psalms	78:1	78:25	1 Corinthians	1:26	2:16
Numbers	7:60	7:77	Jeremiah	23:5	23:32	Psalms	78:26	78:55	1 Corinthians	3	
Numbers	7:78	8:4	Jeremiah	23:33	25:7	Psalms	78:56	79	1 Corinthians	4	
Numbers	8:5	8:19	Jeremiah	25:8	25:31	Psalms	80		1 Corinthians	5:1	6:11
Numbers	8:20	9:8	Jeremiah	25:32	26:18	Psalms	81	82	1 Corinthians	6:12	7:11
Numbers	9:9	9:23	Jeremiah	26:19	27:15	Psalms	83	84	1 Corinthians	7:12	7:35
Numbers	10:1	10:10	Jeremiah	27:16	28:17	Psalms	85	86	1 Corinthians	7:36	8:13
Numbers	10:11	10:28	Jeremiah	29:1	29:23	Psalms	87	88	1 Corinthians	9:1	9:22
Numbers	10:29	11:9	Jeremiah	29:24	30:17	Psalms	89:1	89:26	1 Corinthians	9:23	10:13
Numbers	11:10	11:23	Jeremiah	30:18	31:20	Psalms	89:27	89:52	1 Corinthians	10:14	11:6
Numbers	11:24	12:3	Jeremiah	31:21	32:5	Psalms	90	91:8	1 Corinthians	11:7	11:34
Numbers	12:4	12:16	Jeremiah	32:6	32:30	Psalms	91:9	92	1 Corinthians	12:1	12:26
Numbers	13:1	13:24	Jeremiah	32:31	33:9	Psalms	93	94	1 Corinthians	12:27	13:13
Numbers	13:25	14:4	Jeremiah	33:10	34:7	Psalms	95, 96	97	1 Corinthians	14:1	14:19
Numbers	14:5	14:25	Jeremiah	34:8	35:7	Psalms	98	99	1 Corinthians	14:20	14:40
Numbers	14:26	14:39	Jeremiah	35:8	36:8	Psalms	100	102:14	1 Corinthians	15:1	15:34
Numbers	14:40	15:12	Jeremiah	36:9	36:32	Psalms	102:15	103:18	1 Corinthians	15:35	15:58
Numbers	15:13	15:29	Jeremiah	37		Psalms	103:19	104:23	1 Corinthians	16:1	16:24
Numbers	15:30	16:3	Jeremiah	38		Psalms	104:24	105:11	2 Corinthians	1:1	1:22
Numbers	16:4	16:17	Jeremiah	39		Psalms	105:12	105:45	2 Corinthians	1:23	2:17
Numbers	16:18	16:35	Jeremiah	40:1	41:3	Psalms	106:1	106:27	2 Corinthians	3:1	4:6
Numbers	16:36	16:50	Jeremiah	41:4	42:6	Psalms	106:28	106:48	2 Corinthians	4:7	5:10
Numbers	17		Jeremiah	42:7	43:13	Psalms	107		2 Corinthians	5:11	6:13
Numbers	18:1	18:13	Jeremiah	44:1	44:19	Psalms	108		2 Corinthians	6:14	7:11
Numbers	18:14	18:24	Jeremiah	44:20	45	Psalms	109		2 Corinthians	7:12	8:15
Numbers	18:25	19:10	Jeremiah	46		Psalms	110, 111	112	2 Corinthians	8:16	9:15
Numbers	19:11	19:22	Jeremiah	47:1	48:25	Psalms	113, 114	115	2 Corinthians	10	
Numbers	20:1	20:13	Jeremiah	48:26	49:6	Psalms	116	117	2 Corinthians	11:1	11:29
Numbers	20:14	20:29	Jeremiah	49:7	49:27	Psalms	118		2 Corinthians	11:30	12:15
